id;longitude;code_produit
1;48.8615668997266;node/6322871931
2;43.4894570005419;node/6666254195
3;48.8484091997299;node/2290944624
4;48.8326478997338;node/5398280022
5;43.460416900542;node/7266634971
6;45.3784940004277;node/5008065488
7;16.2379526962464;way/65833908
8;45.291543917226;way/882468783
9;47.6852616000115;node/7877813083
10;43.2078437005405;node/1113843309
11;48.8869742997203;node/1282084790
12;49.0572869181413;way/230162473
13;49.4916056995718;node/6303736714
14;47.8573934999715;node/4179239514
15;48.5135482998128;node/5959788928
16;43.4898164005419;node/7844150888
17;48.8019581997414;node/3033182557
18;44.342331133318;way/539455646
19;50.5070578993427;node/4477980192
20;46.2980048002938;node/4339126694
21;45.8879100003595;node/3926658657
22;45.8051968003716;node/1804235988
23;45.7609218976492;way/732733490
24;50.6163705993207;node/7522459302
25;43.8986142005357;node/3260181253
26;43.2064227005405;node/7620326344
27;43.8574753005368;node/7403781861
28;48.8710423997243;node/1484054979
29;48.8630202997263;node/416532522
30;46.6856930090543;way/243363557
31;49.3955724591201;way/70482567
32;47.1111061200946;way/483175246
33;43.9460334005344;node/5936233594
34;48.8391992997322;node/3308066319
35;43.5811530005414;node/4409341030
36;45.6320580003957;node/7365551650
37;48.1953903998907;node/2291260544
38;47.0158124595374;way/791941189
39;48.8014274997416;node/3607776581
40;48.1038524999128;node/4487651116
41;45.0830540004601;node/4488924003
42;46.5806206448504;way/256863439
43;48.7882461997448;node/3915968147
44;48.1549407999005;node/7417403439
45;48.8452160997307;node/2181344855
46;49.4848546223495;way/749421696
47;44.277262900521;node/6188362703
48;48.1666260998977;node/826215761
49;48.6927093560418;way/231026522
50;48.5798364997964;node/6233999016
51;48.8056783997405;node/5264665196
52;45.2013387652178;way/84827420
53;48.4454679998296;node/6406146585
54;47.9954436999388;node/3605923593
55;48.8430472997312;node/4497466790
56;43.6314207005409;node/697317368
57;45.6264635003964;node/4713541567
58;45.5335988029561;way/135877459
59;47.3938251000773;node/7627424835
60;43.5695515005415;node/6515125635
61;48.9481506997052;node/7915865222
62;49.0297489909396;way/416737099
63;46.1180589233012;way/90592189
64;50.6256677993189;node/5083561745
65;48.8779739997226;node/6602352485
66;43.2102637005405;node/6335188295
67;43.8316957005609;way/109603206
68;48.7983308997423;node/2479069368
69;49.4117916469933;way/231300114
70;50.184550499411;node/4690417102
71;46.7262786002157;node/1957287637
72;46.5833371002428;node/1297400394
73;47.1684170001261;node/3112865200
74;43.6046272005412;node/2445201688
75;47.1919208001211;node/4416911931
76;49.4311436995864;node/5981630439
77;48.0567125999241;node/4920232510
78;47.5017839000532;node/3265472449
79;48.4238408595127;way/409556086
80;45.9796811003456;node/3666940241
81;46.6614847002282;node/8323790070
82;47.8990032999616;node/3315487762
83;43.9719609005336;node/6335457152
84;45.1922260004487;node/533729182
85;43.6141363005411;node/5326079290
86;47.9333798999535;node/2287881001
87;48.6510600046527;way/359428796
88;43.4971180005419;node/7101384028
89;50.0585735821598;way/100039348
90;48.8798756997221;node/2732160529
91;46.5651223002462;node/6441625744
92;47.6758118000137;node/2422263584
93;48.6822631997711;node/2604868324
94;47.2304338001128;node/5639391276
95;45.753131400379;node/7070275084
96;46.8001687676219;way/185472072
97;48.5251994998099;node/7371491496
98;47.7413435999986;node/2021896773
99;45.7940033003732;node/3655205266
100;43.0899371095005;way/897871448
101;48.6050368795611;way/153280388
102;44.8453570867298;way/338992083
103;43.6086042005411;node/5611563323
104;45.7736280003761;node/2485437890
105;44.5227624005067;node/3077167829
106;44.7801980004877;node/7282919212
107;43.6778543005403;node/2120554359
108;50.2661825993933;node/4557342214
109;49.2840111996223;node/6690671132
110;45.9668425003476;node/4519093635
111;45.8910752003591;node/7427961231
112;46.5657960002461;node/1832938250
113;46.8570526001901;node/8413069176
114;45.1865272004493;node/311054678
115;48.2879678998682;node/6517745002
116;45.5925970004009;node/7849038522
117;45.7562648003786;node/254499717
118;43.5917423005413;node/6594102142
119;47.6581916000177;node/8414748729
120;45.0367241004647;node/4865786521
121;44.8388796004828;node/7478500366
122;43.9917103005329;node/8327268565
123;45.5256001004096;node/4061934846
124;43.8326061005374;node/2298853290
125;45.0374537004646;node/2577177671
126;48.3791939998459;node/776491196
127;43.6000189005412;node/7671872317
128;47.3260028000922;node/7896820854
129;-17.6326135004753;node/2561732287
130;48.8371633997327;node/5580758832
131;45.1772051004504;node/4398994646
132;45.0168159004666;node/8278578159
133;43.9248131920194;way/181085840
134;43.6488019005407;node/321418457
135;50.1338118994223;node/5434658179
136;43.2018153005404;node/7983021542
137;47.4978969076505;way/675358037
138;48.4572123998267;node/275730665
139;46.1060129003257;node/4959779529
140;48.7842101997458;node/6853792090
141;47.6330143000235;node/2916539101
142;42.3875292005116;node/2358305374
143;14.6283799998693;way/399320645
144;45.7650311003773;node/1722039366
145;48.859967099727;node/2535031374
146;46.7721579002069;node/7396109289
147;4.89946674952064;way/71471741
148;47.025567800156;node/3750558943
149;43.6905615005401;node/4683375251
150;49.8932139994767;node/6416702269
151;47.9744027999438;node/3829104866
152;47.4760589000849;way/636266337
153;48.9137387997137;node/3781068782
154;43.421120600542;node/6481595899
155;43.6538969005406;node/7395739884
156;43.5678182005415;node/7431578095
157;50.6312135993178;node/7073232987
158;44.6974935093213;way/172521545
159;49.5398659995601;node/5440423221
160;48.5890780997942;node/2677409502
161;49.1169029996634;node/7727055083
162;-21.3440688002712;node/4065521470
163;48.9656875481128;way/30892868
164;43.5589030005416;node/3655513347
165;43.5997100005412;node/2459885320
166;45.7665079003772;node/7578668518
